	filename	is_atleast_one_mobile_tower_detected	precision (greater than threshold)	recall	result_scores_class_1	result_tp_fp_labels_class_1
270	/media/ssd1/cell_data/v5/3882	1	1.0	1.0	0.9999998807907104 - 0.0006189316627569497 - 1.6043988580349833e-05 - 1.0471363793840283e-06 - 4.5446731178344635e-07 - 1.695483007324583e-07 - 1.5323782065479463e-07 - 1.2234754365181288e-07 - 9.865962624644453e-08 - 3.177120078134976e-08 - 2.1778769010438737e-08 - 1.8350830188751388e-08 - 1.7602236113134495e-08 - 1.3468381965253684e-08 - 1.2814756367163227e-08 - 1.076196021188025e-08 - 5.792402557602827e-09 - 1.527494686293096e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
271	/media/ssd1/cell_data/v5/146	1	1.0	1.0	0.9999940395355225 - 2.099412631650921e-05 - 2.7785379188571824e-06 - 1.5749219528515823e-06 - 9.760982493389747e-07 - 7.061005362629658e-07 - 5.755281335950713e-07 - 5.185509621696838e-07 - 4.745421051666199e-07 - 3.800550132382341e-07 - 2.9714536253777624e-07 - 2.4572202050876513e-07 - 1.8472411511538667e-07 - 1.7673428942543978e-07 - 1.4590963814953284e-07 - 1.2909949020922795e-07 - 6.025813803489655e-08 - 3.623170385935737e-08 - 3.0060352429472914e-08 - 2.9795998557347048e-08 - 1.201025412456147e-08	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
272	/media/ssd1/cell_data/v5/3813	1	0.5	1.0	0.9999996423721313 - 0.9999901056289673 - 2.128671076206956e-05 - 1.676917054282967e-05 - 3.7453693835232116e-07 - 1.1872486282982209e-07 - 7.405618163147665e-08 - 1.598147392201099e-08 - 6.244543993005891e-09 - 5.96924421003564e-09 - 4.709028278426786e-09 - 9.141116197319832e-10 - 7.740302288006262e-10 - 7.725891593146628e-10 - 4.105413231592081e-10 - 4.095848105123423e-10 - 7.973018772977625e-11 - 5.78953586460873e-11	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
273	/media/ssd1/cell_data/v5/1893	1		1.0	0.03712477162480354 - 0.004073500633239746 - 0.001580098643898964 - 0.0008078457321971655 - 0.00010951442527584732 - 1.3117997696099337e-05 - 1.2552098269225098e-05 - 7.840568287065253e-06 - 7.107812507456401e-07 - 3.0631062486463634e-07 - 2.6656343266040494e-07 - 8.700622800006386e-08 - 3.0267059969446564e-08 - 1.898545676226604e-08 - 1.4258558778124097e-08 - 6.739623081841728e-09 - 3.3078921823914698e-09 - 3.2774267744173358e-09 - 1.7657912909641027e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
274	/media/ssd1/cell_data/v5/752	1	1.0	1.0	0.9999995231628418 - 0.0002761789655778557 - 1.0268711776006967e-05 - 6.869086064398289e-06 - 7.331019560297136e-07 - 2.0705529379938525e-07 - 2.0375442488784756e-07 - 1.874363704246207e-07 - 8.295749154285659e-08 - 5.042223705231663e-08 - 4.9312959049530036e-08 - 2.9611582519351032e-08 - 2.8066180490782244e-08 - 2.7094815280293005e-08 - 2.401923815398277e-08 - 1.8782639443770677e-08 - 1.633103252629553e-08 - 8.348428615079229e-09 - 8.002584372945876e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
275	/media/ssd1/cell_data/v5/1556	1	1.0	1.0	0.999998927116394 - 0.001196887344121933 - 0.00019454398716334254 - 2.8490649128798395e-05 - 2.3991617126739584e-05 - 6.527202003780985e-06 - 6.3730644797033165e-06 - 2.5305446342827054e-06 - 1.0839087281055981e-06 - 6.616490395572328e-07 - 5.417972488430678e-07 - 2.9008350566073204e-07 - 2.539983370297705e-07 - 1.8389938816198992e-07 - 1.2388551340336562e-07 - 1.1456871362724996e-07 - 5.268273994829542e-08 - 4.742063808294006e-08 - 1.907431190772968e-08 - 1.5784442197741555e-08 - 5.925480550672546e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
276	/media/ssd1/cell_data/v5/3753	1	1.0	1.0	0.9976481795310974 - 0.00041005192906595767 - 2.640191996761132e-05 - 1.4947966064937646e-06 - 9.600455541658448e-07 - 7.007700446592935e-07 - 4.888973990091472e-07 - 3.6085910437577695e-07 - 3.177450764724199e-07 - 2.9587994276880636e-07 - 2.351041388237718e-07 - 1.2575317498431104e-07 - 6.030872867768267e-08 - 3.242929835778341e-08 - 1.287721218545812e-08 - 1.1128919119585134e-08	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
277	/media/ssd1/cell_data/v5/3781	1	1.0	1.0	0.9997997879981995 - 9.321345714852214e-05 - 1.3349731489142869e-05 - 4.3770619413407985e-06 - 5.05232719660853e-07 - 4.16688095583595e-07 - 3.8852527950439253e-07 - 3.438809983435931e-07 - 2.0751687657138973e-07 - 1.210385676131409e-07 - 5.266485558763634e-08 - 5.213356502054012e-08 - 5.085183119035719e-08 - 3.1908260922364207e-08 - 1.739036292747187e-08 - 3.221541700071384e-09 - 2.9477398300059576e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
278	/media/ssd1/cell_data/v5/1001	1	1.0	1.0	0.9999963045120239 - 5.153855909156846e-06 - 3.642982619567192e-06 - 5.801537668048695e-07 - 3.537080885962496e-07 - 3.3751831551853684e-07 - 2.192452512872478e-07 - 5.7946817122456196e-08 - 2.6284094900574928e-08 - 5.613150388938948e-09 - 4.212442838991137e-09 - 9.919441656958128e-11 - 4.8917273010040674e-11 - 1.2761076917389147e-11	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
279	/media/ssd1/cell_data/v5/2790	1	1.0	1.0	1.0 - 0.999976634979248 - 0.0005859332159161568 - 0.0005409239674918354 - 0.00010508528794161975 - 4.8734280426288024e-05 - 4.124262704863213e-05 - 1.731951670080889e-05 - 1.3039059012953658e-05 - 1.916404016810702e-06 - 2.1520735060676088e-07 - 1.965826754712907e-07 - 9.072375206642391e-08 - 4.339188564017604e-08 - 4.115389984349349e-08 - 1.1270222977088906e-08 - 2.4495905304178223e-09 - 9.352885653457488e-12	1.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
280	/media/ssd1/cell_data/v5/2207	1	1.0	1.0	0.7508254647254944 - 5.028666419093497e-05 - 2.8700434995698743e-05 - 6.601973723263654e-07 - 1.5551415799563983e-07 - 1.4522800029226346e-07 - 1.305039774024408e-07 - 9.12499373839637e-08 - 9.073933426861913e-08 - 8.553275421263606e-08 - 7.893967080008224e-08 - 2.6264398655939658e-08 - 2.5181982721278473e-08 - 1.740990995813263e-08 - 1.0256215432491445e-08 - 7.370343890755748e-09 - 6.572107746904976e-09 - 3.8381586797697764e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
281	/media/ssd1/cell_data/v5/619	1	1.0	1.0	0.9999995231628418 - 0.03269166126847267 - 1.2582994713739026e-05 - 1.0383891094534192e-05 - 7.681525858060922e-06 - 5.572346253757132e-06 - 5.829812721458438e-07 - 3.3682312050586916e-07 - 3.167396869230288e-07 - 3.128311050204502e-07 - 1.8126355882941425e-07 - 8.261295647571387e-08 - 6.041729960770681e-08 - 5.77385250721818e-08 - 4.244229145911049e-08 - 3.705287099364796e-08 - 2.770250517869499e-08 - 6.411959407870427e-09 - 3.126668701725066e-09	1.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
